id,조합상세,사용된 아이템,사용된 챔프,분해된 아이템,조합이름
11,"6 대장군,3 학살자,3 광신도,2 선봉대,2 명사수,2 귀감,1 황제,1 무모한 자","힘의 성배,이온 충격기,침묵의 장막,거인 학살자,마법공학 총검,워모그의 갑옷,대장군의 깃발,정의의 손길,수은,쇼진의 창","가렌,니달리,파이크,자르반 4세,트린다미어,아트록스,사미라,아지르","3연습용 장갑,2쓸데없이 큰 지팡이,3음전자 망토,1뒤집개,3여신의 눈물,1곡궁,3거인의 허리띠,3B.F. 대검,1쇠사슬 조끼",귀감
12,"6 대장군,3 학살자,2 암살자,2 명사수,2 귀감,2 결투가,1 황제,1 무모한 자","모렐로노미콘,무한의 대검,정의의 손길,요우무의 유령검,최후의 속삭임,수은,대장군의 깃발,지크의 전령,지크의 전령,거인 학살자","니달리,잭스,자르반 4세,파이크,트린다미어,트린다미어,사미라,아지르","5연습용 장갑,1쓸데없이 큰 지팡이,1음전자 망토,2뒤집개,1여신의 눈물,2곡궁,4거인의 허리띠,4B.F. 대검",선봉학살올라프
13,"8 싸움꾼,3 나무정령,1 추방자,1 우두머리","태양불꽃 망토,루난의 허리케인,마법공학 총검,덤불 조끼,용의 발톱,힘의 성배,즈롯 차원문,라바돈의 죽음모자,정의의 손길,요우무의 유령검","마오카이,탐 켄치,바이,라칸,쉬바나,누누와 윌럼프,초가스,세트,요네","2연습용 장갑,3쓸데없이 큰 지팡이,4음전자 망토,1뒤집개,2여신의 눈물,2곡궁,2거인의 허리띠,1B.F. 대검,3쇠사슬 조끼",요술사
14,"9 나무정령,4 싸움꾼,2 귀감,1 우두머리,1 대장장이","이온 충격기,태양불꽃 망토,수호 천사,마법공학 총검,덫 발톱,강철의 솔라리 펜던트,도적의 장갑,워모그의 갑옷,무한의 대검,서풍,나무정령 새싹,마법공학 총검","마오카이,룰루,라칸,누누와 윌럼프,베이가,자야,초가스,세트,오른","4연습용 장갑,4쓸데없이 큰 지팡이,3음전자 망토,1뒤집개,5거인의 허리띠,4B.F. 대검,3쇠사슬 조끼",선봉신비우화
15,"6 나무정령,2 싸움꾼,2 귀감,1 추방자","도적의 장갑,마법공학 총검,강철의 솔라리 펜던트,수호 천사,수은,정의의 손길,수호 천사,루난의 허리케인","마오카이,룰루,라칸,누누와 윌럼프,누누와 윌럼프,자야,요네","4연습용 장갑,2쓸데없이 큰 지팡이,2음전자 망토,1여신의 눈물,1곡궁,3B.F. 대검,3쇠사슬 조끼",나무정령
16,"9 대장군,3 학살자,2 명사수,2 귀감,1 황제,1 추방자,1 무모한 자","라바돈의 죽음모자,정의의 손길,강철의 솔라리 펜던트,얼어붙은 심장,대장군의 깃발,워모그의 갑옷,수은,구인수의 격노검,모렐로노미콘,마법공학 총검,수호 천사,대장군의 깃발","가렌,니달리,자르반 4세,다리우스,카타리나,트린다미어,사미라,아지르,요네","2연습용 장갑,6쓸데없이 큰 지팡이,1음전자 망토,2뒤집개,2여신의 눈물,1곡궁,5거인의 허리띠,2B.F. 대검,3쇠사슬 조끼",선봉신비우화
17,"6 선봉대,3 우화,2 신비술사,1 추방자,1 대장장이","용의 발톱,수은,수호자의 흉갑,수호 천사,마법공학 총검,힘의 성배,수은,라바돈의 죽음모자,스태틱의 단검","노틸러스,브라움,유미,니코,아트록스,세주아니,요네,오른","2연습용 장갑,3쓸데없이 큰 지팡이,5음전자 망토,1뒤집개,2여신의 눈물,1곡궁,2B.F. 대검,2쇠사슬 조끼",요술사
18,"8 싸움꾼,3 용의 영혼,3 나무정령,1 우두머리","침묵의 장막,수호 천사,마법공학 총검,정의의 손길,나무정령 새싹,수호 천사,고속 연사포,덤불 조끼,용의 정령","마오카이,트리스타나,탐 켄치,바이,누누와 윌럼프,쉬바나,초가스,세트","2연습용 장갑,2쓸데없이 큰 지팡이,1음전자 망토,2뒤집개,1여신의 눈물,2곡궁,3B.F. 대검,5쇠사슬 조끼",선봉학살올라프
19,"4 선봉대,3 학살자,3 광신도,2 암살자,2 명사수,1 추방자,1 무모한 자,1 대장장이","요우무의 유령검,루난의 허리케인,무한의 대검,정의의 손길,수호 천사,모렐로노미콘,워모그의 갑옷,거인의 결의","파이크,시비르,세주아니,아트록스,트린다미어,사미라,오른,요네","3연습용 장갑,1쓸데없이 큰 지팡이,1음전자 망토,1뒤집개,1여신의 눈물,2곡궁,3거인의 허리띠,2B.F. 대검,2쇠사슬 조끼",처형자나무정령
20,"6 용의 영혼,5 요술사,2 흡수자,1 황제","침묵의 장막,힘의 성배,루난의 허리케인,요술사의 모자,수은,도적의 장갑,서풍,수호 천사,요술사의 모자,보석 건틀릿,푸른 파수꾼,서풍","브랜드,룰루,브라움,쉬바나,모르가나,아우렐리온 솔,스웨인,아지르","5연습용 장갑,1쓸데없이 큰 지팡이,5음전자 망토,2뒤집개,5여신의 눈물,1곡궁,2거인의 허리띠,1B.F. 대검,2쇠사슬 조끼",귀감
21,"3 학살자,3 용의 영혼,3 광신도,2 신비술사,2 선봉대,1 황제,1 무모한 자,1 닌자","지크의 전령,모렐로노미콘,가고일 돌갑옷,용의 발톱,정의의 손길,죽음의 검,최후의 속삭임,수은","파이크,세주아니,쉔,아트록스,올라프,스웨인,아지르,사미라,질리언","3연습용 장갑,1쓸데없이 큰 지팡이,4음전자 망토,1여신의 눈물,1곡궁,2거인의 허리띠,3B.F. 대검,1쇠사슬 조끼",귀감
22,"4 선봉대,3 학살자,3 용의 영혼,2 결투가,1 대장장이","모렐로노미콘,강철의 솔라리 펜던트,지크의 전령,죽음의 검,수호 천사,루난의 허리케인,요우무의 유령검,수은,얼어붙은 심장","브라움,세주아니,아트록스,올라프,트린다미어,리 신,스웨인,오른","2연습용 장갑,2쓸데없이 큰 지팡이,2음전자 망토,1뒤집개,1여신의 눈물,1곡궁,2거인의 허리띠,4B.F. 대검,3쇠사슬 조끼",선봉학살올라프
23,"6 선봉대,3 학살자,3 용의 영혼,2 결투가,1 대장장이","지크의 전령,모렐로노미콘,구원,태양불꽃 망토,수호자의 흉갑,루난의 허리케인,최후의 속삭임,용의 정령,무한의 대검,거인 학살자,푸른 파수꾼,수호 천사,마법공학 총검","노틸러스,브라움,세주아니,아트록스,올라프,트린다미어,리 신,오른","2연습용 장갑,3쓸데없이 큰 지팡이,1음전자 망토,2뒤집개,3여신의 눈물,3곡궁,4거인의 허리띠,5B.F. 대검,3쇠사슬 조끼",영혼시비르
24,"4 선봉대,3 학살자,3 용의 영혼,2 결투가,1 무모한 자,1 대장장이","모렐로노미콘,강철의 솔라리 펜던트,죽음의 검,수호 천사,루난의 허리케인,정의의 손길,최후의 속삭임,구인수의 격노검,덫 발톱","브라움,세주아니,아트록스,올라프,트린다미어,사미라,스웨인,오른","3연습용 장갑,3쓸데없이 큰 지팡이,1음전자 망토,1여신의 눈물,3곡궁,2거인의 허리띠,3B.F. 대검,2쇠사슬 조끼",영혼시비르
25,"4 흡수자,4 신성,4 선지자,1 황제","침묵의 장막,침묵의 장막,신성의 검,고속 연사포,무한의 대검,용의 발톱,모렐로노미콘,푸른 파수꾼,무한의 대검,푸른 파수꾼","나서스,블라디미르,이렐리아,탈론,모르가나,리 신,스웨인,아지르","4연습용 장갑,1쓸데없이 큰 지팡이,2음전자 망토,1뒤집개,4여신의 눈물,2곡궁,1거인의 허리띠,3B.F. 대검,2쇠사슬 조끼",귀감
26,"4 처형자,4 신성,3 조율자,2 영혼,2 신비술사,2 결투가,1 추방자,1 닌자","워모그의 갑옷,덫 발톱,마법공학 총검,지크의 전령,지크의 전령,침묵의 장막,보석 건틀릿,고속 연사포,용의 발톱,수은,도적의 장갑,워모그의 갑옷,무한의 대검","잭스,유미,이렐리아,킨드레드,쉔,자야,케일,요네,리 신","7연습용 장갑,2쓸데없이 큰 지팡이,3음전자 망토,2곡궁,7거인의 허리띠,4B.F. 대검,1쇠사슬 조끼",영혼시비르
27,"4 신성,3 처형자,3 조율자,3 영혼,3 결투가,2 신비술사,1 추방자,1 닌자","거인 학살자,정의의 손길,수은,결투가의 열정,수은,가고일 돌갑옷,워모그의 갑옷,가고일 돌갑옷","잭스,유미,이렐리아,킨드레드,쉔,자야,케일,리 신,요네","3연습용 장갑,4음전자 망토,1뒤집개,1여신의 눈물,2곡궁,2거인의 허리띠,1B.F. 대검,2쇠사슬 조끼",광신도
28,"4 처형자,4 신성,2 조율자,2 영혼,2 신비술사,2 결투가,1 닌자","침묵의 장막,라바돈의 죽음모자,지크의 전령,수은,고속 연사포,정의의 손길,수호 천사,루덴의 메아리","잭스,유미,이렐리아,킨드레드,쉔,자야,케일,리 신","3연습용 장갑,3쓸데없이 큰 지팡이,1음전자 망토,2여신의 눈물,2곡궁,1거인의 허리띠,2B.F. 대검,2쇠사슬 조끼",처형자나무정령
29,"6 용의 영혼,2 흡수자,2 선봉대,1 추방자,1 대장장이","루난의 허리케인,최후의 속삭임,정의의 손길,모렐로노미콘,거인의 결의,정의의 손길,얼어붙은 심장,서풍,강철의 솔라리 펜던트","브라움,블라디미르,쉬바나,아우렐리온 솔,올라프,스웨인,요네,오른","3연습용 장갑,2쓸데없이 큰 지팡이,2음전자 망토,3곡궁,2거인의 허리띠,3여신의 눈물,3쇠사슬 조끼",처형자조율자신성
30,"4 처형자,3 나무정령,3 귀감,2 영혼,2 싸움꾼,1 황제,1 우두머리","도적의 장갑,덫 발톱,덫 발톱,정의의 손길,수호 천사,거인 학살자,모렐로노미콘,보석 건틀릿,거인의 결의,마법공학 총검","라칸,누누와 윌럼프,유미,킨드레드,자야,케일,세트,아지르","6연습용 장갑,3쓸데없이 큰 지팡이,1여신의 눈물,2곡궁,3거인의 허리띠,3B.F. 대검,2쇠사슬 조끼",영혼시비르
31,"6 용의 영혼,3 요술사,2 선봉대,1 황제","스태틱의 단검,거인의 결의,모렐로노미콘,워모그의 갑옷,라바돈의 죽음모자,마법공학 총검,쇼진의 창,수은","트리스타나,브랜드,룰루,브라움,세주아니,아우렐리온 솔,스웨인,아지르","1연습용 장갑,4쓸데없이 큰 지팡이,1음전자 망토,2여신의 눈물,2곡궁,3거인의 허리띠,2B.F. 대검,1쇠사슬 조끼",처형자조율자신성
32,"4 흡수자,4 선지자,3 조율자,2 암살자,2 신비술사,1 추방자,1 닌자","침묵의 장막,서풍,침묵의 장막,덤불 조끼,정의의 손길,모렐로노미콘,거인 학살자,수호 천사,무한의 대검,수은","블라디미르,잔나,파이크,이렐리아,쉔,모르가나,탈론,스웨인,요네","5연습용 장갑,1쓸데없이 큰 지팡이,2음전자 망토,1여신의 눈물,1곡궁,2거인의 허리띠,3B.F. 대검,5쇠사슬 조끼",선봉학살올라프
33,"6 용의 영혼,3 요술사,3 선봉대","용의 발톱,보석 건틀릿,무한의 대검,강철의 솔라리 펜던트,고속 연사포,죽음의 검,거인 학살자,얼어붙은 심장,용의 발톱","브랜드,브라움,쉬바나,세주아니,아우렐리온 솔,아트록스,올라프,스웨인","2연습용 장갑,2쓸데없이 큰 지팡이,4음전자 망토,1여신의 눈물,3곡궁,4B.F. 대검,2쇠사슬 조끼",대장군학살자
34,"4 선봉대,3 학살자,3 용의 영혼,3 광신도,2 명사수,1 무모한 자","덤불 조끼,워모그의 갑옷,구원,고속 연사포,루난의 허리케인,죽음의 검,힘의 성배,최후의 속삭임,수호 천사","트리스타나,브라움,파이크,세주아니,아트록스,올라프,질리언,사미라","1연습용 장갑,2음전자 망토,2여신의 눈물,4곡궁,3거인의 허리띠,3B.F. 대검,3쇠사슬 조끼",학살자명사수
35,"3 처형자,3 선봉대,2 영혼,2 신성,2 신비술사,1 닌자","지크의 전령,지크의 전령,지크의 전령,모렐로노미콘,용의 발톱,고속 연사포,수은,라바돈의 죽음모자,고속 연사포,푸른 파수꾼,구인수의 격노검","킨드레드,유미,세주아니,쉔,아트록스,자야,케일,리 신","1연습용 장갑,4쓸데없이 큰 지팡이,3음전자 망토,2여신의 눈물,5곡궁,4거인의 허리띠,3B.F. 대검",처형자신성
36,"4 처형자,3 나무정령,2 영혼,2 신비술사,2 선봉대,2 귀감,1 대장장이,1 닌자","지크의 전령,힘의 성배,힘의 성배,고속 연사포,덫 발톱,즈롯 차원문,거인 학살자,정의의 손길,정의의 손길","라칸,유미,킨드레드,케일,쉔,아트록스,자야,오른","3연습용 장갑,2음전자 망토,4여신의 눈물,4곡궁,3거인의 허리띠,2B.F. 대검",처형자신성
37,"3 학살자,3 용의 영혼,3 선봉대,2 명사수,1 무모한 자","힘의 성배,침묵의 장막,거인 학살자,무한의 대검,가고일 돌갑옷,수호 천사,루난의 허리케인,정의의 손길,거인 학살자,용의 발톱,정의의 손길","트리스타나,브라움,아트록스,트린다미어,세주아니,올라프,사미라,질리언","4연습용 장갑,5음전자 망토,3여신의 눈물,3곡궁,4B.F. 대검,3쇠사슬 조끼",대장군학살자
38,"4 결투가,3 학살자,3 광신도,2 조율자,2 신비술사,2 선봉대,1 추방자,1 닌자","태양불꽃 망토,가고일 돌갑옷,지크의 전령,루난의 허리케인,덫 발톱,수호 천사,무한의 대검,정의의 손길,라바돈의 죽음모자,쇼진의 창,결투가의 열정","파이크,세주아니,쉔,아트록스,올라프,트린다미어,리 신,요네,질리언","3연습용 장갑,2쓸데없이 큰 지팡이,2음전자 망토,1뒤집개,2여신의 눈물,2곡궁,3거인의 허리띠,4B.F. 대검,3쇠사슬 조끼",선봉학살올라프
39,"4 신성,2 처형자,2 조율자,2 영혼,2 신비술사,1 추방자","가고일 돌갑옷,덤불 조끼,스태틱의 단검,정의의 손길,마법공학 총검,모렐로노미콘,수은,고속 연사포,구인수의 격노검","잭스,유미,이렐리아,킨드레드,세주아니,케일,요네,질리언","2연습용 장갑,3쓸데없이 큰 지팡이,2음전자 망토,2여신의 눈물,4곡궁,1거인의 허리띠,1B.F. 대검,3쇠사슬 조끼",흡수자신성
40,"4 영혼,4 명사수,4 광신도,2 신비술사,2 선봉대,1 무모한 자","침묵의 장막,강철의 솔라리 펜던트,죽음의 검,고속 연사포,수은,대자연의 힘,대자연의 힘,모렐로노미콘,이온 충격기,최후의 속삭임,정의의 손길","다이애나,니달리,티모,시비르,유미,킨드레드,세주아니,아트록스,사미라,질리언","4연습용 장갑,3쓸데없이 큰 지팡이,2음전자 망토,4뒤집개,1여신의 눈물,3곡궁,1거인의 허리띠,2B.F. 대검,2쇠사슬 조끼",나무정령
41,"3 처형자,3 나무정령,2 신성,2 선봉대,2 귀감","최후의 속삭임,죽음의 검,루덴의 메아리,수호 천사,정의의 손길,정의의 손길,용의 발톱,수호 천사","라칸,브라움,킨드레드,자야,아트록스,자야,케일,리 신","3연습용 장갑,1쓸데없이 큰 지팡이,2음전자 망토,3여신의 눈물,1곡궁,4B.F. 대검,2쇠사슬 조끼",귀감
42,"3 학살자,3 용의 영혼,2 신비술사,2 명사수,2 결투가,1 추방자,1 무모한 자","구원,강철의 솔라리 펜던트,거인 학살자,수은,정의의 손길,거인 학살자,용의 발톱,태양불꽃 망토,라바돈의 죽음모자,가고일 돌갑옷","트리스타나,아트록스,올라프,트린다미어,리 신,사미라,스웨인,요네,질리언","2연습용 장갑,3쓸데없이 큰 지팡이,4음전자 망토,2여신의 눈물,2곡궁,2거인의 허리띠,2B.F. 대검,3쇠사슬 조끼",요술사
43,"4 신성,3 학살자,3 조율자,2 신비술사,2 결투가,1 추방자,1 무모한 자,1 닌자","서풍,죽음의 검,신성의 검,수은,가고일 돌갑옷,지크의 전령,지크의 전령,죽음의 검,쇼진의 창,정의의 손길,얼어붙은 심장","파이크,이렐리아,쉔,케일,트린다미어,리 신,질리언,사미라,요네","2연습용 장갑,3음전자 망토,3여신의 눈물,1뒤집개,3거인의 허리띠,8B.F. 대검,2쇠사슬 조끼",귀감
44,"4 처형자,4 신성,2 조율자,2 영혼,2 신비술사,2 결투가,1 닌자","도적의 장갑,모렐로노미콘,즈롯 차원문,쇼진의 창,쇼진의 창,지크의 전령,정의의 손길,스태틱의 단검,가고일 돌갑옷,수은,고속 연사포,거인의 결의","잭스,유미,이렐리아,킨드레드,자야,쉔,케일,리 신","4연습용 장갑,1쓸데없이 큰 지팡이,2음전자 망토,4여신의 눈물,5곡궁,3거인의 허리띠,3B.F. 대검,2쇠사슬 조끼",처형자신성
45,"4 처형자,3 조율자,2 영혼,2 신성,2 신비술사,2 귀감,1 황제,1 추방자,1 닌자","루덴의 메아리,정의의 손길,최후의 속삭임,고속 연사포,수은,보석 건틀릿,지크의 전령,용의 발톱","유미,이렐리아,킨드레드,쉔,자야,케일,아지르,아지르,요네","4연습용 장갑,2쓸데없이 큰 지팡이,3음전자 망토,2여신의 눈물,3곡궁,1거인의 허리띠,1B.F. 대검",싸움꾼
46,"4 신성,3 처형자,2 조율자,2 영혼,2 귀감,1 황제,1 추방자","지크의 전령,지크의 전령,강철의 솔라리 펜던트,최후의 속삭임,수은,정의의 손길,보석 건틀릿,라바돈의 죽음모자,덫 발톱,구인수의 격노검","유미,이렐리아,킨드레드,자야,케일,리 신,아지르,요네","5연습용 장갑,5쓸데없이 큰 지팡이,1음전자 망토,1여신의 눈물,2곡궁,3거인의 허리띠,2B.F. 대검,1쇠사슬 조끼",처형자나무정령
47,"4 처형자,4 신성,3 조율자,2 영혼,2 신비술사,2 결투가,1 추방자,1 닌자","덤불 조끼,스태틱의 단검,고속 연사포,구인수의 격노검,수은,도적의 장갑,워모그의 갑옷,덤불 조끼,라바돈의 죽음모자,수호 천사,워모그의 갑옷","잭스,유미,이렐리아,킨드레드,쉔,자야,케일,리 신,요네","3연습용 장갑,3쓸데없이 큰 지팡이,1음전자 망토,1여신의 눈물,4곡궁,4거인의 허리띠,1B.F. 대검,5쇠사슬 조끼",선봉신비우화
48,"6 결투가,2 추방자,2 조율자,2 신성,2 신비술사,2 선지자,1 닌자","수은,최후의 속삭임,무한의 대검,강철의 솔라리 펜던트,피바라기,루난의 허리케인,정의의 손길,침묵의 장막,수호 천사,스태틱의 단검,스태틱의 단검","야스오,피오라,잔나,잭스,칼리스타,쉔,리 신,요네,리 신","5연습용 장갑,1쓸데없이 큰 지팡이,3음전자 망토,3여신의 눈물,4곡궁,3B.F. 대검,3쇠사슬 조끼",대장군학살자
49,"3 처형자,3 조율자,2 영혼,2 신성,2 신비술사,2 귀감,1 황제,1 추방자,1 닌자","도적의 장갑,워모그의 갑옷,가고일 돌갑옷,강철의 솔라리 펜던트,루난의 허리케인,구인수의 격노검,정의의 손길,수호 천사,워모그의 갑옷,모렐로노미콘","유미,이렐리아,킨드레드,쉔,자야,케일,아지르,요네","3연습용 장갑,3쓸데없이 큰 지팡이,2음전자 망토,1여신의 눈물,2곡궁,5거인의 허리띠,1B.F. 대검,3쇠사슬 조끼",처형자나무정령
50,"5 신성,4 처형자,3 조율자,2 영혼,2 신비술사,2 귀감,1 황제,1 추방자,1 닌자","지크의 전령,정의의 손길,대자연의 힘,이온 충격기,신성의 검,강철의 솔라리 펜던트,수은,고속 연사포,구인수의 격노검,도적의 장갑,피바라기,도적의 장갑,워모그의 갑옷,무한의 대검,신성의 검","유미,이렐리아,킨드레드,쉔,자야,케일,리 신,요네,아지르","7연습용 장갑,3쓸데없이 큰 지팡이,3음전자 망토,4뒤집개,1여신의 눈물,3곡궁,3거인의 허리띠,5B.F. 대검,1쇠사슬 조끼",영혼시비르
51,"6 학살자,3 용의 영혼,2 암살자,2 선봉대,2 명사수,2 결투가,1 황제,1 무모한 자,1 닌자","태양불꽃 망토,즈롯 차원문,최후의 속삭임,수호 천사,죽음의 검,수호 천사,거인 학살자,구원,보석 건틀릿,요우무의 유령검,수은","트리스타나,브라움,제드,파이크,세주아니,올라프,트린다미어,아지르,리 신,사미라","4연습용 장갑,1쓸데없이 큰 지팡이,1음전자 망토,1뒤집개,1여신의 눈물,3곡궁,3거인의 허리띠,5B.F. 대검,3쇠사슬 조끼",선봉학살올라프
52,"4 흡수자,4 신성,3 선지자,2 신비술사,2 결투가,1 황제","보석 건틀릿,무한의 대검,워모그의 갑옷,힘의 성배,모렐로노미콘,강철의 솔라리 펜던트,구인수의 격노검,결투가의 열정,루난의 허리케인,이온 충격기,덤불 조끼","나서스,잔나,이렐리아,모르가나,케일,스웨인,리 신,아지르,질리언","2연습용 장갑,5쓸데없이 큰 지팡이,3음전자 망토,1뒤집개,1여신의 눈물,3곡궁,3거인의 허리띠,1B.F. 대검,3쇠사슬 조끼",흡수자신성
53,"4 신성,3 처형자,3 조율자,2 영혼,2 신비술사,2 선봉대,2 결투가,1 닌자","수호자의 흉갑,강철의 솔라리 펜던트,정의의 손길,무한의 대검,최후의 속삭임,보석 건틀릿,결투가의 열정,라바돈의 죽음모자","오공,잭스,유미,이렐리아,킨드레드,쉔,자야,케일","4연습용 장갑,4쓸데없이 큰 지팡이,2뒤집개,1여신의 눈물,2곡궁,1B.F. 대검,2쇠사슬 조끼",싸움꾼
54,"4 처형자,4 신성,2 조율자,2 영혼,2 신비술사,2 결투가,1 닌자","강철의 솔라리 펜던트,지크의 전령,얼어붙은 심장,최후의 속삭임,수호 천사,정의의 손길,구인수의 격노검,도적의 장갑,라바돈의 죽음모자","잭스,유미,이렐리아,킨드레드,쉔,자야,케일,리 신","4연습용 장갑,4쓸데없이 큰 지팡이,2여신의 눈물,2곡궁,1거인의 허리띠,2B.F. 대검,3쇠사슬 조끼",싸움꾼
55,"6 용의 영혼,5 요술사,2 싸움꾼,1 황제,1 우두머리","루난의 허리케인,마법공학 총검,수호 천사,구인수의 격노검,고속 연사포,쇼진의 창,루덴의 메아리,푸른 파수꾼,스태틱의 단검,구인수의 격노검,용의 정령","브랜드,룰루,브라움,애니,쉬바나,아우렐리온 솔,세트,스웨인,아지르","5쓸데없이 큰 지팡이,1음전자 망토,1뒤집개,5여신의 눈물,6곡궁,3B.F. 대검,1쇠사슬 조끼",처형자신성
56,"6 귀감,3 나무정령,2 처형자,1 황제,1 닌자","라바돈의 죽음모자,수호 천사,라바돈의 죽음모자,강철의 솔라리 펜던트,모렐로노미콘,쇼진의 창,무한의 대검,수호 천사,용의 발톱","자르반 4세,라칸,누누와 윌럼프,킨드레드,케넨,아트록스,자야,아지르","1연습용 장갑,6쓸데없이 큰 지팡이,2음전자 망토,1여신의 눈물,1거인의 허리띠,4B.F. 대검,3쇠사슬 조끼",귀감
57,"4 신성,2 처형자,2 영혼,2 결투가,1 황제","서풍,힘의 성배,힘의 성배,힘의 성배,구인수의 격노검,보석 건틀릿,태양불꽃 망토,죽음의 검","잭스,유미,이렐리아,킨드레드,케일,리 신,리 신,아지르","1연습용 장갑,2쓸데없이 큰 지팡이,4음전자 망토,3여신의 눈물,1곡궁,2거인의 허리띠,2B.F. 대검,1쇠사슬 조끼",요술사
