id,조합상세,사용된 아이템,사용된 챔프,분해된 아이템,조합이름
18,"4 처형자,4 신성,2 조율자,2 영혼,2 신비술사,2 결투가,1 닌자","침묵의 장막,라바돈의 죽음모자,지크의 전령,수은,고속 연사포,정의의 손길,수호 천사,루덴의 메아리","잭스,유미,이렐리아,킨드레드,쉔,자야,케일,리 신","2B.F. 대검,1거인의 허리띠,3쓸데없이 큰 지팡이,2쇠사슬 조끼,2곡궁,1음전자 망토,2여신의 눈물,3연습용 장갑",처형자나무정령
19,"6 용의 영혼,2 흡수자,2 선봉대,1 추방자,1 대장장이","루난의 허리케인,최후의 속삭임,정의의 손길,모렐로노미콘,거인의 결의,정의의 손길,얼어붙은 심장,서풍,강철의 솔라리 펜던트","브라움,블라디미르,쉬바나,아우렐리온 솔,올라프,스웨인,요네,오른","2거인의 허리띠,2쓸데없이 큰 지팡이,3쇠사슬 조끼,3곡궁,2음전자 망토,3여신의 눈물,3연습용 장갑",처형자조율자신성
20,"4 처형자,3 나무정령,3 귀감,2 영혼,2 싸움꾼,1 황제,1 우두머리","도적의 장갑,덫 발톱,덫 발톱,정의의 손길,수호 천사,거인 학살자,모렐로노미콘,보석 건틀릿,거인의 결의,마법공학 총검","라칸,누누와 윌럼프,유미,킨드레드,자야,케일,세트,아지르","3B.F. 대검,3거인의 허리띠,3쓸데없이 큰 지팡이,2쇠사슬 조끼,2곡궁,1여신의 눈물,6연습용 장갑",영혼시비르
21,"4 결투가,3 학살자,3 광신도,2 조율자,2 신비술사,2 선봉대,1 추방자,1 닌자","태양불꽃 망토,가고일 돌갑옷,지크의 전령,루난의 허리케인,덫 발톱,수호 천사,무한의 대검,정의의 손길,라바돈의 죽음모자,쇼진의 창,결투가의 열정","파이크,세주아니,쉔,아트록스,올라프,트린다미어,리 신,요네,질리언","4B.F. 대검,1뒤집개,3거인의 허리띠,2쓸데없이 큰 지팡이,3쇠사슬 조끼,2곡궁,2음전자 망토,2여신의 눈물,3연습용 장갑",선봉학살올라프
22,"4 신성,2 처형자,2 조율자,2 영혼,2 신비술사,1 추방자","가고일 돌갑옷,덤불 조끼,스태틱의 단검,정의의 손길,마법공학 총검,모렐로노미콘,수은,고속 연사포,구인수의 격노검","잭스,유미,이렐리아,킨드레드,세주아니,케일,요네,질리언","1B.F. 대검,1거인의 허리띠,3쓸데없이 큰 지팡이,3쇠사슬 조끼,4곡궁,2음전자 망토,2여신의 눈물,2연습용 장갑",흡수자신성
23,"4 영혼,4 명사수,4 광신도,2 신비술사,2 선봉대,1 무모한 자","침묵의 장막,강철의 솔라리 펜던트,죽음의 검,고속 연사포,수은,대자연의 힘,대자연의 힘,모렐로노미콘,이온 충격기,최후의 속삭임,정의의 손길","다이애나,니달리,티모,시비르,유미,킨드레드,세주아니,아트록스,사미라,질리언","2B.F. 대검,4뒤집개,1거인의 허리띠,3쓸데없이 큰 지팡이,2쇠사슬 조끼,3곡궁,2음전자 망토,1여신의 눈물,4연습용 장갑",나무정령
24,"5 용의 영혼,3 학살자,3 선봉대","용의 정령,덫 발톱,가고일 돌갑옷,죽음의 검,무한의 대검,루난의 허리케인,용의 정령,최후의 속삭임,피바라기","트리스타나,파이크,파이크,쉬바나,세주아니,아트록스,올라프,트린다미어","4B.F. 대검,2뒤집개,1거인의 허리띠,2쓸데없이 큰 지팡이,1쇠사슬 조끼,2곡궁,3음전자 망토,3연습용 장갑",나무정령
25,"6 학살자,2 선봉대,2 결투가,1 무모한 자","모렐로노미콘,용의 발톱,강철의 솔라리 펜던트,수호 천사,정의의 손길,루난의 허리케인,덫 발톱","파이크,다리우스,세주아니,아트록스,올라프,트린다미어,사미라,리 신","1B.F. 대검,2거인의 허리띠,2쓸데없이 큰 지팡이,2쇠사슬 조끼,1곡궁,3음전자 망토,1여신의 눈물,2연습용 장갑",귀감
26,"6 용의 영혼,5 요술사,1 황제","루덴의 메아리,쇼진의 창,루덴의 메아리,강철의 솔라리 펜던트,즈롯 차원문,서풍,도적의 장갑,스태틱의 단검,쇼진의 창,요술사의 모자,정의의 손길,덤불 조끼","브랜드,룰루,브라움,애니,아우렐리온 솔,올라프,아지르,리 신,스웨인","2B.F. 대검,1뒤집개,2거인의 허리띠,3쓸데없이 큰 지팡이,3쇠사슬 조끼,2곡궁,1음전자 망토,7여신의 눈물,3연습용 장갑",처형자나무정령
27,"4 신성,3 처형자,2 조율자,2 영혼,2 신비술사,2 귀감,1 황제,1 닌자","푸른 파수꾼,최후의 속삭임,가고일 돌갑옷,수호 천사,고속 연사포,구인수의 격노검,푸른 파수꾼,마법공학 총검,루덴의 메아리,덫 발톱,모렐로노미콘,용의 정령","유미,이렐리아,킨드레드,자야,쉔,아트록스,케일,리 신,아지르","2B.F. 대검,1뒤집개,2거인의 허리띠,5쓸데없이 큰 지팡이,2쇠사슬 조끼,4곡궁,1음전자 망토,5여신의 눈물,2연습용 장갑",처형자조율자신성
28,"4 처형자,3 조율자,3 나무정령,3 귀감,2 영혼,2 신성,2 신비술사,1 황제,1 추방자,1 닌자","지크의 전령,정의의 손길,죽음의 검,수은,구인수의 격노검,거인 학살자,모렐로노미콘,나무정령 새싹,덫 발톱","라칸,유미,이렐리아,킨드레드,쉔,자야,케일,아지르,요네","4B.F. 대검,1뒤집개,3거인의 허리띠,2쓸데없이 큰 지팡이,2곡궁,2음전자 망토,1여신의 눈물,3연습용 장갑",나무정령
29,"6 학살자,2 신성,2 선봉대,2 결투가,1 무모한 자,1 닌자","강철의 솔라리 펜던트,강철의 솔라리 펜던트,덤불 조끼,이온 충격기,신성의 검,고속 연사포,루난의 허리케인,수은,푸른 파수꾼,구원,루난의 허리케인","제드,파이크,다리우스,아트록스,세주아니,트린다미어,리 신,사미라","1B.F. 대검,1뒤집개,1거인의 허리띠,3쓸데없이 큰 지팡이,4쇠사슬 조끼,4곡궁,4음전자 망토,3여신의 눈물,1연습용 장갑",요술사
30,"7 요술사,3 행운,3 용의 영혼,3 나무정령,2 선봉대,1 대장장이","가고일 돌갑옷,즈롯 차원문,마법공학 총검,푸른 파수꾼,정의의 손길,거인 학살자,지크의 전령,요술사의 모자,모렐로노미콘","브랜드,트위스티드 페이트,룰루,애니,베이가,세주아니,아우렐리온 솔,오른,스웨인","3B.F. 대검,1뒤집개,3거인의 허리띠,2쓸데없이 큰 지팡이,1쇠사슬 조끼,2곡궁,1음전자 망토,4여신의 눈물,1연습용 장갑",처형자조율자신성
31,"4 처형자,2 영혼,2 신성,2 신비술사,2 선봉대,1 닌자","푸른 파수꾼,지크의 전령,지크의 전령,지크의 전령,가고일 돌갑옷,모렐로노미콘,덤불 조끼,거인 학살자,구인수의 격노검,수호 천사,구원","유미,킨드레드,세주아니,쉔,아트록스,자야,케일,리 신","5B.F. 대검,5거인의 허리띠,2쓸데없이 큰 지팡이,4쇠사슬 조끼,2곡궁,1음전자 망토,3여신의 눈물",선봉학살올라프
32,"6 용의 영혼,3 학살자,3 요술사,2 선봉대,2 명사수,1 황제,1 무모한 자","강철의 솔라리 펜던트,침묵의 장막,푸른 파수꾼,거인 학살자,정의의 손길,루난의 허리케인,요술사의 모자,최후의 속삭임,정의의 손길,수호 천사","트리스타나,브랜드,브라움,쉬바나,세주아니,아우렐리온 솔,올라프,아지르,사미라","2B.F. 대검,1뒤집개,1쓸데없이 큰 지팡이,3쇠사슬 조끼,3곡궁,1음전자 망토,5여신의 눈물,4연습용 장갑",결투가
33,"7 요술사,3 용의 영혼","힘의 성배,마법공학 총검,힘의 성배,가고일 돌갑옷,즈롯 차원문,수은,덫 발톱,힘의 성배,덫 발톱,죽음의 검","브랜드,트위스티드 페이트,룰루,애니,베이가,아우렐리온 솔,리 신,리 신,스웨인","3B.F. 대검,3거인의 허리띠,1쓸데없이 큰 지팡이,1쇠사슬 조끼,1곡궁,5음전자 망토,3여신의 눈물,3연습용 장갑",귀감
34,"5 학살자,3 용의 영혼,2 선봉대","침묵의 장막,루덴의 메아리,덤불 조끼,마법공학 총검,고속 연사포,루난의 허리케인,최후의 속삭임","브라움,파이크,다리우스,쉬바나,세주아니,모르가나,올라프,트린다미어","1B.F. 대검,2쓸데없이 큰 지팡이,3쇠사슬 조끼,4곡궁,1음전자 망토,1여신의 눈물,2연습용 장갑",대장군학살자
35,"3 처형자,3 선봉대,2 영혼,2 신성,2 신비술사,2 결투가,1 닌자","침묵의 장막,거인 학살자,결투가의 열정,마법공학 총검,태양불꽃 망토,용의 발톱,서풍","유미,킨드레드,세주아니,쉔,아트록스,자야,케일,리 신","2B.F. 대검,1뒤집개,2거인의 허리띠,1쓸데없이 큰 지팡이,2쇠사슬 조끼,2곡궁,3음전자 망토,1연습용 장갑",광신도
36,"3 처형자,2 조율자,2 영혼,2 신성,2 신비술사,2 선봉대,1 닌자","구인수의 격노검,스태틱의 단검,모렐로노미콘,얼어붙은 심장,침묵의 장막,덫 발톱,수호 천사,정의의 손길,거인 학살자","유미,이렐리아,킨드레드,케일,세주아니,쉔,아트록스,자야","2B.F. 대검,2거인의 허리띠,2쓸데없이 큰 지팡이,3쇠사슬 조끼,3곡궁,3여신의 눈물,3연습용 장갑",처형자나무정령
37,"7 용의 영혼,3 요술사,2 흡수자,1 황제","힘의 성배,지크의 전령,수호 천사,마법공학 총검,거인 학살자,용의 발톱,덫 발톱,정의의 손길,가고일 돌갑옷,모렐로노미콘,용의 정령","트위스티드 페이트,브라움,룰루,쉬바나,모르가나,아우렐리온 솔,올라프,스웨인,아지르","4B.F. 대검,1뒤집개,3거인의 허리띠,3쓸데없이 큰 지팡이,2쇠사슬 조끼,1곡궁,4음전자 망토,2여신의 눈물,2연습용 장갑",귀감
38,"3 처형자,2 영혼,2 신성,2 선봉대,2 귀감,1 황제","지크의 전령,힘의 성배,쇼진의 창,모렐로노미콘,도적의 장갑,즈롯 차원문,정의의 손길,침묵의 장막,고속 연사포,수은,고속 연사포","유미,킨드레드,세주아니,아트록스,자야,케일,아지르,아지르","2B.F. 대검,3거인의 허리띠,1쓸데없이 큰 지팡이,1쇠사슬 조끼,5곡궁,2음전자 망토,3여신의 눈물,5연습용 장갑",처형자신성
39,"4 조율자,3 처형자,3 신성,2 영혼,2 신비술사,1 추방자,1 닌자","지크의 전령,침묵의 장막,수호 천사,거인 학살자,수은,고속 연사포,정의의 손길,모렐로노미콘,구원,푸른 파수꾼,모렐로노미콘,가고일 돌갑옷,태양불꽃 망토","유미,이렐리아,킨드레드,쉔,자야,케일,리 신,요네,요네","3B.F. 대검,5거인의 허리띠,2쓸데없이 큰 지팡이,4쇠사슬 조끼,3곡궁,2음전자 망토,4여신의 눈물,3연습용 장갑",영혼시비르
40,"7 요술사,6 용의 영혼","도적의 장갑,덫 발톱,침묵의 장막,지크의 전령,강철의 솔라리 펜던트,구원,수호 천사,쇼진의 창,라바돈의 죽음모자,요술사의 모자,용의 발톱,덤불 조끼","브랜드,트위스티드 페이트,룰루,브라움,애니,베이가,쉬바나,아우렐리온 솔,스웨인","3B.F. 대검,1뒤집개,3거인의 허리띠,3쓸데없이 큰 지팡이,5쇠사슬 조끼,2음전자 망토,3여신의 눈물,4연습용 장갑",선봉신비우화
41,"9 대장군,3 학살자,3 암살자,2 명사수,2 귀감,1 황제,1 추방자,1 우두머리,1 무모한 자","대자연의 힘,요우무의 유령검,정의의 손길,덤불 조끼,대장군의 깃발,고속 연사포,피바라기,라바돈의 죽음모자,침묵의 장막,워모그의 갑옷,정의의 손길,대장군의 깃발,보석 건틀릿","가렌,니달리,자르반 4세,파이크,카타리나,트린다미어,사미라,세트,아지르,요네","1B.F. 대검,5뒤집개,4거인의 허리띠,3쓸데없이 큰 지팡이,3쇠사슬 조끼,2곡궁,1음전자 망토,2여신의 눈물,5연습용 장갑",처형자나무정령
42,"6 나무정령,2 싸움꾼,2 귀감,1 추방자,1 대장장이","태양불꽃 망토,이온 충격기,지크의 전령,힘의 성배,구인수의 격노검,수은,수호 천사,피바라기","마오카이,라칸,룰루,누누와 윌럼프,자야,자야,요네,오른","3B.F. 대검,2거인의 허리띠,2쓸데없이 큰 지팡이,2쇠사슬 조끼,1곡궁,4음전자 망토,1여신의 눈물,1연습용 장갑",요술사
43,"4 선지자,2 흡수자,2 조율자,2 암살자,2 신비술사,1 추방자,1 닌자","태양불꽃 망토,지크의 전령,힘의 성배,수호 천사,최후의 속삭임,정의의 손길,워모그의 갑옷,태양불꽃 망토,수호 천사","잔나,파이크,모르가나,쉔,탈론,스웨인,요네,요네","3B.F. 대검,5거인의 허리띠,4쇠사슬 조끼,1곡궁,1음전자 망토,2여신의 눈물,2연습용 장갑",선봉학살올라프
44,"3 학살자,3 용의 영혼,3 나무정령,3 귀감,1 황제,1 우두머리,1 무모한 자,1 닌자","태양불꽃 망토,이온 충격기,루덴의 메아리,마법공학 총검,마법공학 총검,무한의 대검,고속 연사포,수호 천사,정의의 손길,보석 건틀릿,강철의 솔라리 펜던트","제드,라칸,룰루,아우렐리온 솔,올라프,자야,사미라,세트,아지르","4B.F. 대검,1거인의 허리띠,6쓸데없이 큰 지팡이,3쇠사슬 조끼,2곡궁,1음전자 망토,2여신의 눈물,3연습용 장갑",선봉학살올라프
45,"6 나무정령,3 요술사,3 귀감,2 싸움꾼,2 선봉대,1 황제,1 우두머리,1 대장장이","태양불꽃 망토,즈롯 차원문,수호 천사,수호 천사,정의의 손길,거인 학살자,나무정령 새싹,수은,라바돈의 죽음모자","라칸,룰루,베이가,아트록스,초가스,자야,아지르,오른,세트","3B.F. 대검,1뒤집개,2거인의 허리띠,2쓸데없이 큰 지팡이,3쇠사슬 조끼,2곡궁,2음전자 망토,1여신의 눈물,2연습용 장갑",선봉학살올라프
46,"4 결투가,3 학살자,3 광신도,2 신성,2 선봉대","거인의 결의,강철의 솔라리 펜던트,최후의 속삭임,무한의 대검,수호 천사,용의 발톱,수은,모렐로노미콘","잭스,파이크,세주아니,아트록스,올라프,트린다미어,리 신,질리언","2B.F. 대검,1거인의 허리띠,2쓸데없이 큰 지팡이,3쇠사슬 조끼,2곡궁,3음전자 망토,3연습용 장갑",요술사
47,"6 나무정령,3 귀감,2 싸움꾼,1 황제,1 추방자,1 대장장이","강철의 솔라리 펜던트,마법공학 총검,정의의 손길,수호 천사,정의의 손길,모렐로노미콘,보석 건틀릿","마오카이,라칸,누누와 윌럼프,자야,자야,아지르,요네,오른","2B.F. 대검,1거인의 허리띠,4쓸데없이 큰 지팡이,2쇠사슬 조끼,2여신의 눈물,3연습용 장갑",싸움꾼
48,"5 요술사,3 용의 영혼,3 나무정령,2 흡수자,1 추방자,1 대장장이","루난의 허리케인,수호 천사,마법공학 총검,정의의 손길,모렐로노미콘,덫 발톱,가고일 돌갑옷,이온 충격기","브랜드,룰루,베이가,아우렐리온 솔,모르가나,요네,스웨인,오른","2B.F. 대검,2거인의 허리띠,3쓸데없이 큰 지팡이,2쇠사슬 조끼,1곡궁,3음전자 망토,1여신의 눈물,2연습용 장갑",귀감
49,"3 학살자,3 광신도,2 선봉대,2 명사수,2 결투가,1 무모한 자","서풍,모렐로노미콘,최후의 속삭임,죽음의 검,고속 연사포,고속 연사포,피바라기,무한의 대검,피바라기","파이크,시비르,세주아니,아트록스,트린다미어,리 신,리 신,사미라","5B.F. 대검,2거인의 허리띠,1쓸데없이 큰 지팡이,5곡궁,3음전자 망토,2연습용 장갑",처형자신성
50,"7 요술사,3 용의 영혼,3 나무정령","요술사의 모자,침묵의 장막,힘의 성배,힘의 성배,스태틱의 단검,워모그의 갑옷,수호 천사,마법공학 총검,보석 건틀릿","브랜드,트위스티드 페이트,라칸,애니,룰루,베이가,세주아니,아우렐리온 솔,아우렐리온 솔","2B.F. 대검,1뒤집개,2거인의 허리띠,2쓸데없이 큰 지팡이,2쇠사슬 조끼,1곡궁,2음전자 망토,4여신의 눈물,2연습용 장갑",귀감
51,"4 처형자,2 조율자,2 영혼,2 신성,2 신비술사,2 귀감,1 황제,1 추방자,1 닌자","지크의 전령,힘의 성배,정의의 손길,수호 천사,수은,보석 건틀릿,고속 연사포,쇼진의 창,모렐로노미콘,덫 발톱,라바돈의 죽음모자","유미,킨드레드,쉔,자야,케일,리 신,아지르,요네","3B.F. 대검,3거인의 허리띠,4쓸데없이 큰 지팡이,1쇠사슬 조끼,2곡궁,2음전자 망토,3여신의 눈물,4연습용 장갑",싸움꾼
52,"6 학살자,3 용의 영혼,1 추방자,1 무모한 자","정의의 손길,루난의 허리케인,죽음의 검,덫 발톱,피바라기,거인 학살자,모렐로노미콘,워모그의 갑옷,덤불 조끼","브랜드,브라움,파이크,다리우스,트린다미어,올라프,사미라,요네","4B.F. 대검,4거인의 허리띠,1쓸데없이 큰 지팡이,2쇠사슬 조끼,2곡궁,2음전자 망토,1여신의 눈물,2연습용 장갑",선봉학살올라프
53,"6 귀감,3 나무정령,2 선봉대,1 황제,1 추방자,1 대장장이,1 닌자","고속 연사포,모렐로노미콘,수호 천사,용의 발톱,이온 충격기,힘의 성배,고속 연사포,스태틱의 단검,요우무의 유령검","라칸,자르반 4세,케넨,아트록스,자야,아지르,오른,요네","1B.F. 대검,1뒤집개,1거인의 허리띠,2쓸데없이 큰 지팡이,1쇠사슬 조끼,5곡궁,4음전자 망토,2여신의 눈물,1연습용 장갑",처형자신성
54,"5 학살자,3 용의 영혼,2 결투가,1 닌자","태양불꽃 망토,결투가의 열정,최후의 속삭임,무한의 대검,루난의 허리케인,죽음의 검,수호 천사,정의의 손길,정의의 손길,무한의 대검","트리스타나,브라움,제드,파이크,올라프,올라프,올라프,트린다미어","5B.F. 대검,1뒤집개,1거인의 허리띠,2쇠사슬 조끼,3곡궁,1음전자 망토,2여신의 눈물,5연습용 장갑",나무정령
55,"6 학살자,3 용의 영혼,3 선봉대,2 명사수,1 무모한 자","이온 충격기,모렐로노미콘,이온 충격기,서풍,정의의 손길,수호자의 흉갑,루난의 허리케인,고속 연사포,수호 천사","트리스타나,파이크,브라움,다리우스,세주아니,올라프,트린다미어,사미라","1B.F. 대검,1뒤집개,2거인의 허리띠,3쓸데없이 큰 지팡이,2쇠사슬 조끼,3곡궁,4음전자 망토,1여신의 눈물,1연습용 장갑",광신도
56,"5 요술사,4 나무정령","덤불 조끼,나무정령 새싹,수호 천사,힘의 성배,쇼진의 창,마법공학 총검,수호 천사","브랜드,트위스티드 페이트,라칸,애니,룰루,애니,베이가,베이가","4B.F. 대검,1뒤집개,1쓸데없이 큰 지팡이,4쇠사슬 조끼,2음전자 망토,2여신의 눈물",귀감
57,"6 용의 영혼,4 명사수,3 학살자,1 무모한 자","서풍,무한의 대검,용의 정령,정의의 손길,수호 천사,루난의 허리케인,가고일 돌갑옷,최후의 속삭임,무한의 대검","트리스타나,브라움,파이크,시비르,아우렐리온 솔,올라프,스웨인,사미라","3B.F. 대검,1뒤집개,1거인의 허리띠,1쓸데없이 큰 지팡이,2쇠사슬 조끼,2곡궁,3음전자 망토,1여신의 눈물,4연습용 장갑",나무정령
