id,rank,B.F. 대검,거인의 허리띠,곡궁,뒤집개,쇠사슬 조끼,쓸데없이 큰 지팡이,여신의 눈물,연습용 장갑,음전자 망토,조합,유사도
104,2,4,1,0,0,7,3,3,1,3,귀감,68
105,7,1,3,2,0,0,2,3,2,3,처형자신성,81
106,7,6,2,1,0,0,0,3,2,2,흡수자선지자,75
107,5,3,3,2,0,1,1,2,5,1,처형자나무정령,83
108,7,2,0,1,1,2,3,0,2,5,요술사,75
109,2,1,0,4,1,5,1,4,4,0,결투가,60
110,1,3,3,5,2,2,5,0,2,2,영혼시비르,67
111,8,1,1,2,0,1,2,0,1,0,영혼시비르,100
112,5,2,3,3,0,1,5,1,4,3,싸움꾼,68
113,1,0,2,5,0,2,3,0,3,5,광신도,70
114,6,0,1,5,1,5,2,1,3,2,광신도,65
115,6,2,2,3,0,3,1,1,2,2,선봉학살올라프,88
116,1,4,2,4,0,3,3,3,4,3,귀감,62
117,2,2,2,4,0,1,3,4,2,2,처형자조율자신성,80
118,1,5,3,2,1,2,0,2,5,2,처형자나무정령,68
119,1,3,6,1,2,5,1,1,0,1,선봉신비우화,60
120,4,1,2,2,1,5,1,2,1,1,선봉학살올라프,75
121,7,1,1,0,0,2,0,4,3,3,귀감,86
122,3,5,2,4,1,2,2,3,3,2,나무정령,67
123,4,0,1,0,1,4,4,1,6,1,선봉신비우화,61
124,3,3,2,2,0,3,2,1,5,4,요술사,68
125,1,3,4,4,1,0,3,1,2,2,처형자조율자신성,70
126,3,4,2,3,0,3,1,1,2,2,선봉학살올라프,89
127,7,2,1,1,1,2,1,1,4,3,나무정령,81
128,2,0,6,3,1,2,3,2,5,2,처형자나무정령,57
129,2,2,4,2,0,2,1,6,3,2,처형자나무정령,73
130,3,3,2,4,0,2,2,2,2,1,영혼시비르,83
131,8,0,2,2,0,1,2,0,0,1,영혼시비르,100
132,2,3,0,3,0,2,6,1,1,2,대장군학살자,72
133,1,2,1,1,1,3,4,5,0,1,요술사,67
134,2,3,1,6,0,1,0,3,1,3,처형자신성,89
135,1,3,0,2,0,5,3,3,2,4,귀감,68
136,2,4,0,5,0,4,2,1,2,4,대장군학살자,68
137,4,0,2,1,0,4,4,1,4,2,선봉신비우화,67
138,6,4,2,2,0,2,1,2,1,2,선봉학살올라프,88
139,8,3,0,3,0,1,3,2,2,0,싸움꾼,79
140,3,4,3,1,1,3,3,2,2,3,귀감,68
141,2,2,3,3,0,4,2,2,3,1,처형자나무정령,80
142,5,2,2,1,1,3,1,4,2,2,귀감,72
143,1,4,1,1,0,2,3,0,2,3,귀감,81
144,2,2,4,2,0,3,1,3,2,1,처형자나무정령,83
145,1,3,1,3,0,4,5,3,2,3,귀감,67
146,5,1,2,1,0,3,2,3,2,4,요술사,83
147,6,3,1,2,0,3,4,2,3,0,싸움꾼,72
148,2,4,2,2,0,4,0,1,2,3,선봉학살올라프,83
149,6,2,3,4,0,3,1,0,2,1,영혼시비르,88
150,5,2,3,1,0,4,4,2,0,2,요술사,72
151,1,1,0,2,1,3,4,5,3,1,싸움꾼,65
152,2,3,3,4,0,3,3,0,1,1,영혼시비르,83
153,5,5,2,4,0,0,3,2,3,3,싸움꾼,68
154,2,3,1,2,1,3,1,2,2,3,귀감,78
155,1,2,2,3,0,2,2,4,0,3,처형자신성,78
156,2,2,3,7,0,1,4,1,4,0,처형자신성,59
157,6,2,2,1,0,2,2,2,2,3,귀감,88
158,5,1,1,3,0,2,1,3,3,4,귀감,72
159,1,4,5,4,0,3,2,0,5,3,영혼시비르,62
160,4,2,2,2,0,2,1,5,2,4,귀감,70
161,3,2,4,3,0,3,1,0,2,3,영혼시비르,78
162,1,4,2,7,0,3,2,3,3,2,처형자신성,65
163,8,3,2,2,0,1,1,0,0,3,처형자신성,83
164,6,3,1,3,0,2,2,3,2,2,귀감,83
165,5,3,1,4,2,4,0,1,0,1,선봉학살올라프,69
166,1,4,1,2,1,3,4,2,1,0,선봉학살올라프,72
167,7,3,1,2,1,0,0,1,1,3,처형자신성,83
168,5,3,2,4,0,3,1,3,2,2,처형자신성,75
169,7,1,3,3,1,1,2,2,2,1,영혼시비르,81
170,1,0,3,4,1,1,0,2,4,3,처형자신성,67
171,3,3,0,1,1,1,1,4,3,2,귀감,75
172,2,5,4,0,0,2,3,3,3,4,귀감,67
173,6,1,2,1,0,0,6,1,4,5,싸움꾼,65
174,3,3,2,2,1,2,1,2,4,3,처형자나무정령,75
175,2,1,6,2,1,4,4,2,4,2,처형자나무정령,57
176,3,2,4,1,0,2,5,0,1,3,요술사,67
177,5,2,2,2,3,2,2,1,2,0,영혼시비르,75
178,7,1,3,1,0,2,1,3,2,1,처형자나무정령,93
179,8,2,1,1,1,3,1,1,3,1,나무정령,93
180,1,3,6,1,1,3,3,2,6,1,나무정령,57
181,1,2,2,1,0,2,4,2,3,2,싸움꾼,78
182,4,1,8,2,0,1,1,1,2,2,처형자나무정령,67
183,5,2,2,0,0,2,4,4,2,2,귀감,78
184,2,2,3,1,1,5,1,0,3,2,선봉신비우화,78
185,3,2,3,0,2,3,6,5,4,1,선봉신비우화,54
186,3,2,1,3,2,3,2,3,2,2,귀감,70
187,5,3,2,1,1,2,1,2,1,3,귀감,81
188,5,1,1,1,2,3,2,2,2,2,요술사,81
189,5,3,2,4,1,4,1,0,1,2,광신도,72
190,2,5,2,6,1,6,2,1,2,1,선봉학살올라프,62
191,8,3,1,1,1,2,2,1,0,1,나무정령,100
192,1,1,6,1,1,1,2,2,2,2,처형자나무정령,67
193,5,5,1,5,0,0,3,2,4,2,결투가,68
194,1,1,6,2,0,2,4,1,1,3,흡수자신성,70
195,8,3,2,1,2,0,1,1,2,2,선봉학살올라프,79
196,2,3,5,2,1,2,3,1,3,2,영혼시비르,68
197,1,3,2,2,1,2,2,2,3,1,나무정령,83
198,6,1,1,1,0,3,0,2,3,3,요술사,86
199,5,3,1,3,1,1,4,0,4,1,영혼시비르,72
200,2,2,2,2,2,2,4,2,1,3,싸움꾼,70
201,2,1,0,1,0,0,0,0,2,2,싸움꾼,100
202,7,0,1,3,1,4,2,2,2,1,요술사,69
203,3,4,1,0,2,2,3,1,3,2,나무정령,83
204,1,2,3,1,2,3,3,0,3,5,요술사,64
205,7,2,1,4,0,2,1,1,2,1,대장군학살자,93
206,1,3,2,1,2,2,6,3,2,1,귀감,64
207,1,1,2,3,2,4,2,1,3,2,광신도,65
208,3,2,2,4,0,2,3,2,4,5,싸움꾼,62
209,6,1,2,3,1,1,0,2,3,1,처형자나무정령,86
210,2,3,2,1,3,3,3,1,2,4,요술사,68
211,2,3,2,1,0,4,1,2,2,1,선봉학살올라프,88
212,2,3,5,2,1,2,2,5,4,2,처형자나무정령,62
213,3,3,2,1,1,1,3,4,2,1,귀감,72
214,1,2,4,4,0,2,4,1,3,2,영혼시비르,68
215,5,2,3,1,1,2,3,4,1,1,처형자조율자신성,72
216,5,2,3,5,0,3,0,0,7,2,광신도,59
217,1,3,3,2,1,0,3,5,1,2,처형자조율자신성,75
218,1,3,4,2,0,2,2,4,1,2,귀감,70
219,2,1,3,1,0,3,3,6,2,3,귀감,64
220,3,1,3,0,0,2,3,8,5,4,귀감,54
221,3,2,0,2,0,5,2,1,3,3,싸움꾼,72
222,2,1,1,4,2,3,5,1,3,2,흡수자신성,68
223,5,3,2,0,1,4,2,3,4,1,귀감,70
224,1,4,4,1,2,3,4,4,1,3,흡수자선지자,62
225,4,4,2,4,2,2,0,3,1,0,처형자신성,67
226,2,4,2,0,0,4,3,1,5,3,귀감,64
227,3,3,3,0,1,2,4,2,6,3,귀감,62
228,8,2,1,2,0,1,1,2,3,2,처형자나무정령,93
229,7,2,1,2,1,0,1,3,3,1,결투가,86
230,7,4,3,6,0,2,2,3,7,3,처형자신성,60
231,7,0,0,1,0,3,1,2,2,3,요술사,92
232,5,3,2,4,0,2,0,2,3,2,대장군학살자,83
233,8,3,2,4,0,0,2,0,1,0,영혼시비르,92
234,5,1,3,1,0,1,2,0,4,2,영혼시비르,79
235,7,1,3,3,0,2,1,1,1,2,광신도,93
236,6,1,3,0,0,2,1,2,1,4,요술사,86
237,2,2,0,3,0,2,3,4,2,2,처형자조율자신성,78
238,3,0,2,4,3,6,1,2,6,4,광신도,50
239,1,2,3,3,0,4,3,2,3,0,처형자나무정령,75
240,1,3,3,4,0,3,2,2,4,1,영혼시비르,73
241,4,3,1,2,1,1,2,2,3,1,나무정령,88
242,4,2,0,1,2,3,3,2,5,2,싸움꾼,65
243,2,2,2,3,0,2,4,1,2,2,처형자조율자신성,78
244,3,5,3,2,0,1,1,1,3,2,선봉학살올라프,78
245,2,4,4,2,1,1,1,2,0,3,흡수자선지자,68
246,4,1,1,1,0,2,2,1,3,5,요술사,81
247,1,3,2,3,0,4,2,1,4,3,영혼시비르,68
248,2,3,3,2,0,2,3,2,2,3,귀감,75
249,6,0,1,1,0,2,4,2,1,3,흡수자신성,93
250,4,1,2,2,0,1,1,5,4,2,처형자나무정령,72
251,8,1,3,1,3,1,3,1,2,3,싸움꾼,61
252,3,3,3,1,0,2,1,4,1,5,귀감,70
253,7,1,1,2,0,0,4,3,2,1,싸움꾼,86
254,2,3,2,3,0,2,3,1,2,4,영혼시비르,75
255,3,3,3,2,0,1,5,2,2,2,싸움꾼,70
256,8,2,1,1,0,0,1,3,0,2,처형자신성,100
257,3,2,3,0,0,3,3,1,1,3,요술사,81
258,4,2,1,2,0,4,1,2,4,2,처형자나무정령,78
259,5,1,2,0,0,1,2,2,4,4,귀감,75
260,6,3,1,4,0,2,2,3,3,2,대장군학살자,80
261,1,2,2,2,2,1,3,4,2,2,처형자조율자신성,75
262,1,4,3,2,0,2,1,3,3,2,처형자나무정령,80
263,4,2,1,2,0,2,4,1,4,2,싸움꾼,78
264,2,6,2,2,1,1,1,1,4,4,선봉학살올라프,64
265,4,3,0,2,0,2,0,2,4,3,대장군학살자,81
266,4,2,1,1,2,2,2,2,3,3,귀감,78
267,7,1,1,2,0,4,2,1,2,3,요술사,81
268,2,3,1,2,0,2,1,0,2,3,귀감,86
269,5,4,2,1,0,2,1,2,7,3,귀감,64
270,4,2,1,0,2,2,4,1,4,2,나무정령,72
271,2,3,1,2,0,5,5,3,1,2,귀감,64
272,6,4,2,1,0,5,1,1,2,0,선봉학살올라프,88
273,1,5,2,2,1,6,3,5,2,2,선봉학살올라프,56
274,2,3,4,2,0,3,2,4,2,2,귀감,68
275,7,3,1,2,1,2,3,1,2,1,나무정령,88
276,6,1,2,0,0,2,3,2,1,3,귀감,86
277,2,1,2,3,0,3,1,3,4,1,처형자나무정령,78
278,2,1,2,3,1,6,2,1,2,2,광신도,65
279,2,4,3,1,1,3,2,3,3,2,나무정령,73
280,2,4,2,2,0,3,4,1,2,2,선봉학살올라프,80
281,7,1,1,1,1,0,1,2,0,1,요술사,88
282,7,1,2,3,0,1,2,3,1,1,처형자조율자신성,93
283,4,2,1,0,1,2,2,4,1,3,귀감,88
284,8,2,0,1,2,0,0,1,4,2,결투가,83
285,3,5,3,5,1,2,0,1,2,1,영혼시비르,70
286,3,0,2,4,2,1,1,3,2,3,처형자신성,78
287,8,4,1,0,0,2,2,2,2,1,귀감,93
288,7,2,1,0,1,1,4,0,3,4,싸움꾼,75
289,7,1,3,4,0,0,2,1,1,2,처형자신성,86
290,4,3,1,1,0,3,5,3,2,4,귀감,73
291,1,1,2,3,1,2,5,4,5,5,싸움꾼,54
292,2,4,1,5,1,2,1,2,2,2,대장군학살자,75
293,1,4,2,4,0,2,2,3,4,5,귀감,62
294,4,1,3,4,1,0,2,1,3,1,결투가,81
295,1,4,5,4,1,1,4,1,2,4,영혼시비르,57
296,1,4,3,0,2,1,2,2,2,2,귀감,72
297,2,3,2,1,0,0,3,4,2,3,귀감,78
298,5,1,1,4,0,0,1,2,4,3,처형자신성,81
299,2,1,0,4,1,1,4,1,2,4,흡수자신성,78
300,6,1,4,3,2,3,1,0,2,2,영혼시비르,72
301,3,2,1,1,1,4,4,1,3,3,싸움꾼,70
302,1,2,2,0,0,2,4,3,0,3,귀감,81
303,4,2,3,3,0,1,2,1,3,3,영혼시비르,78
304,5,3,1,4,1,1,1,3,3,1,결투가,78
305,3,2,2,1,0,3,2,4,3,1,처형자나무정령,78
306,3,2,2,4,0,2,3,2,2,3,처형자신성,75
307,5,2,1,1,0,3,3,3,2,1,귀감,81
308,7,2,3,3,1,0,3,1,4,1,처형자조율자신성,72
309,1,4,1,2,0,5,5,1,2,2,선봉학살올라프,68
310,4,4,4,2,0,2,2,1,4,1,영혼시비르,75
311,1,1,5,0,1,4,4,3,3,1,선봉신비우화,64
312,8,5,1,1,1,3,2,0,2,1,나무정령,88
313,4,3,2,0,1,3,2,1,3,5,귀감,70
314,1,1,5,1,1,5,1,3,2,1,선봉신비우화,65
315,6,2,3,5,0,2,1,1,3,1,처형자나무정령,83
316,4,3,3,2,0,3,2,2,2,1,영혼시비르,83
317,4,2,4,1,0,3,2,3,1,0,요술사,75
318,1,3,3,3,2,2,2,1,3,3,영혼시비르,73
319,1,3,3,1,1,3,6,1,4,2,나무정령,62
320,8,2,4,1,1,2,0,1,1,2,학살자명사수,86
321,1,2,3,4,0,0,3,3,3,4,처형자신성,73
322,5,3,2,4,0,1,2,1,3,2,대장군학살자,83
323,1,3,1,1,0,1,5,3,2,4,귀감,75
324,3,3,3,3,0,1,1,2,3,4,처형자나무정령,75
325,4,1,1,2,1,0,3,4,3,3,싸움꾼,78
326,1,3,4,2,2,1,1,2,2,3,처형자나무정령,70
327,8,1,1,1,1,3,1,3,2,1,귀감,79
328,5,4,1,3,1,4,2,0,1,0,영혼시비르,75
329,6,3,1,2,0,3,2,2,1,2,요술사,88
330,4,4,2,0,0,3,4,1,1,1,선봉학살올라프,81
331,7,1,2,1,0,1,2,2,1,4,요술사,93
332,6,1,3,2,0,3,4,1,1,1,선봉신비우화,75
333,6,2,2,1,0,3,3,2,1,2,요술사,88
334,2,2,1,3,1,0,1,3,5,2,결투가,78
335,3,1,4,1,1,2,1,1,1,4,요술사,75
336,5,0,2,2,2,3,3,2,3,1,처형자나무정령,72
337,6,1,1,1,1,4,0,2,2,2,요술사,79
338,4,2,1,1,0,2,3,1,4,4,요술사,78
339,7,2,1,1,0,2,1,3,3,1,처형자나무정령,93
340,2,6,3,4,1,4,4,0,3,1,영혼시비르,62
341,4,4,4,0,2,3,2,3,4,4,귀감,62
342,5,3,0,2,2,4,4,4,0,3,싸움꾼,59
343,6,4,1,1,0,0,4,0,3,1,나무정령,86
344,7,3,2,2,0,6,0,1,2,0,선봉학살올라프,81
345,7,2,1,2,0,2,0,0,3,4,요술사,79
346,5,2,1,2,1,4,4,2,1,1,요술사,72
347,4,1,1,3,1,3,3,3,3,2,처형자조율자신성,70
348,3,4,1,0,2,5,2,1,2,1,나무정령,78
349,3,3,3,3,2,1,4,1,1,2,처형자조율자신성,70
350,4,6,2,1,0,2,2,3,1,1,흡수자선지자,78
351,2,3,2,3,3,3,3,2,2,1,영혼시비르,68
352,6,4,3,2,0,2,0,1,2,0,선봉학살올라프,93
353,5,4,2,2,0,1,4,1,1,3,흡수자선지자,78
354,3,5,0,1,0,3,2,2,5,2,나무정령,70
355,4,2,1,1,0,5,1,2,3,1,처형자나무정령,81
356,5,4,1,0,0,1,1,3,2,2,귀감,93
357,2,1,2,2,1,4,3,3,6,2,처형자조율자신성,57
358,8,3,2,3,1,1,1,1,2,2,영혼시비르,81
359,8,2,2,0,0,2,1,1,3,1,처형자나무정령,100
360,7,1,0,1,0,1,2,1,4,2,싸움꾼,83
361,3,2,1,1,0,1,3,2,1,5,요술사,88
362,2,1,5,4,0,2,4,3,2,1,처형자조율자신성,64
363,4,0,0,4,1,3,3,2,4,3,결투가,70
364,5,2,0,0,1,1,2,2,5,3,싸움꾼,75
365,2,2,3,4,0,2,7,4,2,2,처형자조율자신성,62
366,7,1,4,3,0,2,1,1,2,2,광신도,81
367,5,1,3,2,0,2,1,3,1,5,요술사,72
368,1,1,1,2,1,4,3,1,1,2,요술사,75
369,1,3,2,3,0,2,1,0,3,2,영혼시비르,88
370,7,1,3,1,2,2,2,2,1,2,요술사,75
371,2,2,4,3,1,5,1,4,1,1,처형자나무정령,64
372,2,1,2,4,1,3,4,1,3,1,흡수자신성,70
373,4,5,2,1,0,2,2,2,2,0,선봉학살올라프,81
374,1,3,4,3,1,3,1,2,3,2,처형자나무정령,73
375,2,3,2,3,0,3,3,3,1,2,처형자조율자신성,80
376,4,3,1,0,0,0,2,3,3,4,귀감,88
377,5,3,1,2,1,4,0,3,1,3,귀감,72
378,8,2,2,1,1,1,1,2,1,1,처형자나무정령,92
379,3,2,5,2,1,2,5,4,2,3,싸움꾼,57
380,5,4,3,0,0,2,3,0,1,3,귀감,75
381,2,2,1,2,0,3,4,5,1,4,요술사,73
382,3,2,2,2,0,5,1,4,1,3,요술사,70
383,8,2,1,1,1,2,2,1,2,2,나무정령,93
384,1,1,3,3,2,2,1,2,2,2,처형자나무정령,78
385,5,1,3,3,0,1,2,1,2,3,광신도,81
386,1,1,6,3,1,4,0,2,2,3,학살자명사수,64
387,1,5,3,1,1,1,5,1,2,1,나무정령,70
388,2,5,1,3,0,4,3,1,0,1,선봉학살올라프,72
389,3,3,2,1,2,2,3,2,2,1,나무정령,78
390,4,3,0,0,0,3,3,6,1,2,귀감,72
391,2,3,3,2,2,3,2,2,1,0,영혼시비르,72
392,1,2,3,2,2,2,5,4,6,2,처형자나무정령,56
393,6,1,3,6,0,1,2,0,2,1,영혼시비르,81
394,4,2,0,2,2,3,3,3,1,2,요술사,72
395,7,3,1,1,0,3,2,1,1,2,요술사,93
396,1,4,2,5,0,2,2,2,3,6,처형자신성,62
397,5,6,2,4,0,2,2,2,3,3,대장군학살자,67
398,7,1,1,2,1,3,2,2,1,1,요술사,86
399,5,2,2,3,0,1,1,4,1,2,처형자신성,88
400,5,2,2,4,0,2,2,1,2,1,영혼시비르,88
401,7,4,2,4,0,2,1,0,0,3,광신도,81
402,5,4,1,2,0,3,3,1,1,3,요술사,78
403,6,3,1,2,0,0,3,1,1,3,싸움꾼,86
404,5,2,3,1,1,2,2,2,4,3,처형자나무정령,75
405,8,3,1,1,0,1,1,2,1,2,흡수자선지자,100
406,5,3,3,1,0,3,1,0,3,2,영혼시비르,81
407,3,3,2,2,0,3,1,2,2,1,선봉학살올라프,94
408,8,2,1,4,0,2,1,0,1,1,광신도,92
409,2,6,1,2,0,3,3,1,3,3,선봉학살올라프,68
410,5,3,0,4,0,2,1,1,2,3,대장군학살자,94
411,2,1,3,3,0,2,4,2,3,4,싸움꾼,68
412,2,3,3,2,0,3,4,3,3,3,싸움꾼,67
413,1,2,0,2,1,4,1,5,1,4,요술사,70
414,1,1,2,3,1,6,1,0,4,4,광신도,59
415,1,4,1,2,0,5,1,3,3,3,귀감,68
416,3,1,3,3,1,2,3,1,3,1,영혼시비르,78
417,8,3,2,1,0,0,2,0,1,3,흡수자선지자,92
418,2,4,1,4,0,1,2,2,4,2,결투가,75
419,1,3,3,6,0,3,3,1,3,2,영혼시비르,67
420,6,2,1,3,0,3,1,0,1,3,요술사,86
421,1,6,6,5,1,4,4,5,0,5,처형자신성,43
422,6,3,2,2,1,1,2,2,6,1,나무정령,70
423,4,2,4,1,0,2,2,4,1,2,귀감,72
424,2,3,1,1,2,2,4,3,2,2,귀감,75
425,4,3,1,6,1,0,3,1,4,3,처형자신성,68
426,1,4,3,1,1,0,1,2,4,2,나무정령,72
427,1,3,3,4,0,4,2,1,1,2,영혼시비르,75
428,8,0,0,0,0,0,0,0,0,0,0,0
429,8,0,2,3,0,2,2,3,1,1,처형자조율자신성,86
430,2,0,0,0,1,4,1,2,2,0,귀감,70
431,1,3,1,3,2,1,2,1,6,1,나무정령,70
432,5,1,2,3,1,2,1,1,1,2,광신도,93
433,5,4,1,4,0,0,1,3,3,2,처형자신성,78
434,1,3,2,2,0,1,3,4,5,4,싸움꾼,62
435,6,3,1,1,0,2,3,1,2,1,나무정령,93
436,4,2,3,1,0,3,0,2,1,2,요술사,86
437,6,2,3,3,0,3,3,1,1,2,처형자조율자신성,78
438,7,0,1,0,0,2,5,4,1,1,귀감,71
439,2,1,5,1,0,2,2,2,2,5,요술사,70
440,3,4,2,1,0,1,5,2,4,3,싸움꾼,68
441,5,1,1,0,0,4,4,4,2,2,귀감,72
442,8,2,3,0,1,2,2,1,3,0,나무정령,86
443,1,5,2,3,2,3,2,3,1,1,선봉학살올라프,68
444,7,3,0,0,0,3,2,3,2,1,귀감,93
445,6,2,0,1,0,1,1,2,3,2,싸움꾼,92
446,8,3,1,1,0,1,1,2,3,0,나무정령,92
447,4,3,3,2,0,3,3,2,3,3,처형자나무정령,73
448,4,1,0,3,1,3,4,4,3,3,싸움꾼,68
449,5,3,1,2,0,3,0,3,2,2,귀감,81
450,5,5,0,3,0,5,1,2,0,2,선봉학살올라프,67
451,1,3,1,4,1,3,2,1,0,5,요술사,70
452,1,1,2,3,0,2,1,4,3,4,처형자신성,70
453,4,1,2,3,0,3,2,1,4,2,광신도,72
454,8,3,4,2,0,1,1,1,2,0,영혼시비르,86
455,6,2,3,2,0,3,1,1,2,4,요술사,78
456,3,3,3,5,1,4,2,1,4,3,광신도,62
457,4,3,2,1,0,1,5,2,1,1,처형자조율자신성,75
458,5,3,2,1,0,1,2,4,3,4,귀감,75
459,2,3,3,3,1,2,3,1,3,3,영혼시비르,73
